;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Censo Nacional de Población y Vivienda - CNPV 2018;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
PERSONAS (Demográfico);;;;;;;;;;;;;;;;;;;;
Población total censada, por sexo e índices de masculinidad y feminidad, según departamentos, áreas (Total, Cabecera y Centros poblados y Rural disperso) y grupos de edad ;;;;;;;;;;;;;;;;;;;;
Cuadro 1PD Departamental ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
2018;;;;;;;;;;;;;;;;;;;;
Grupos de edad, departamento y Áreas  (Total, Cabecera y Centros poblados y Rural disperso) ;;;Total;Sexo;;Índice de  Masculinidad;Índice de Feminidad;;;;;;;;;;;;;
;;;;Hombre;Mujer;;;;;;;;;;;;;;;
;;35 a 39;69.808;34.619;35.189;98,4;101,6;;;;;;;;;;;;;
;;40 a 44;60.274;29.259;31.015;94,3;106,0;;;;;;;;;;;;;
;;45 a 49;57.431;27.700;29.731;93,2;107,3;;;;;;;;;;;;;
;;50 a 54;55.297;26.688;28.609;93,3;107,2;;;;;;;;;;;;;
;;55 a 59;48.873;23.597;25.276;93,4;107,1;;;;;;;;;;;;;
;;60 a 64;38.759;18.759;20.000;93,8;106,6;;;;;;;;;;;;;
;;65 a 69;29.455;14.331;15.124;94,8;105,5;;;;;;;;;;;;;
;;70 a 74;21.425;10.407;11.018;94,5;105,9;;;;;;;;;;;;;
;;75 a 79;15.692;7.476;8.216;91,0;109,9;;;;;;;;;;;;;
;;80 a 84;10.645;4.885;5.760;84,8;117,9;;;;;;;;;;;;;
;;85 y más;8.819;4.035;4.784;84,3;118,6;;;;;;;;;;;;;
;Cabecera;Total;615.886;296.574;319.312;92,9;107,7;;;;;;;;;;;;;
;;0 a 4;46.745;23.945;22.800;105,0;95,2;;;;;;;;;;;;;
;;5 a 9;47.994;24.638;23.356;105,5;94,8;;;;;;;;;;;;;
;;10 a 14;50.765;25.887;24.878;104,1;96,1;;;;;;;;;;;;;
;;15 a 19;54.859;27.447;27.412;100,1;99,9;;;;;;;;;;;;;
;;20 a 24;54.739;27.090;27.649;98,0;102,1;;;;;;;;;;;;;
;;25 a 29;51.004;25.030;25.974;96,4;103,8;;;;;;;;;;;;;
;;30 a 34;45.499;22.256;23.243;95,8;104,4;;;;;;;;;;;;;
;;35 a 39;43.865;20.977;22.888;91,7;109,1;;;;;;;;;;;;;
;;40 a 44;37.443;17.319;20.124;86,1;116,2;;;;;;;;;;;;;
;;45 a 49;35.847;16.265;19.582;83,1;120,4;;;;;;;;;;;;;
;;50 a 54;35.099;15.940;19.159;83,2;120,2;;;;;;;;;;;;;
;;55 a 59;31.579;14.281;17.298;82,6;121,1;;;;;;;;;;;;;
;;60 a 64;25.049;11.313;13.736;82,4;121,4;;;;;;;;;;;;;
;;65 a 69;18.877;8.408;10.469;80,3;124,5;;;;;;;;;;;;;
;;70 a 74;13.535;5.962;7.573;78,7;127,0;;;;;;;;;;;;;
;;75 a 79;9.902;4.274;5.628;75,9;131,7;;;;;;;;;;;;;
;;80 a 84;7.027;2.955;4.072;72,6;137,8;;;;;;;;;;;;;
;;85 y más;6.058;2.587;3.471;74,5;134,2;;;;;;;;;;;;;
;Centro Poblado;Total;71.291;35.749;35.542;100,6;99,4;;;;;;;;;;;;;
;;0 a 4;5.757;2.973;2.784;106,8;93,6;;;;;;;;;;;;;
;;5 a 9;5.996;3.078;2.918;105,5;94,8;;;;;;;;;;;;;
;;10 a 14;6.829;3.478;3.351;103,8;96,3;;;;;;;;;;;;;
;;15 a 19;7.221;3.632;3.589;101,2;98,8;;;;;;;;;;;;;
;;20 a 24;6.033;3.055;2.978;102,6;97,5;;;;;;;;;;;;;
;;25 a 29;5.186;2.588;2.598;99,6;100,4;;;;;;;;;;;;;
;;30 a 34;4.691;2.281;2.410;94,6;105,7;;;;;;;;;;;;;
;;35 a 39;4.719;2.384;2.335;102,1;97,9;;;;;;;;;;;;;
;;40 a 44;4.269;2.077;2.192;94,8;105,5;;;;;;;;;;;;;
;;45 a 49;4.077;2.034;2.043;99,6;100,4;;;;;;;;;;;;;
;;50 a 54;3.978;1.999;1.979;101,0;99,0;;;;;;;;;;;;;
;;55 a 59;3.322;1.603;1.719;93,3;107,2;;;;;;;;;;;;;
;;60 a 64;2.700;1.363;1.337;101,9;98,1;;;;;;;;;;;;;
;;65 a 69;2.073;1.021;1.052;97,1;103,0;;;;;;;;;;;;;
;;70 a 74;1.649;854;795;107,4;93,1;;;;;;;;;;;;;
;;75 a 79;1.239;607;632;96,0;104,1;;;;;;;;;;;;;
;;80 a 84;880;408;472;86,4;115,7;;;;;;;;;;;;;
;;85 y más;672;314;358;87,7;114,0;;;;;;;;;;;;;
;Rural disperso;Total;322.371;171.443;150.928;113,6;88,0;;;;;;;;;;;;;
;;0 a 4;27.947;14.499;13.448;107,8;92,8;;;;;;;;;;;;;
;;5 a 9;29.457;14.972;14.485;103,4;96,7;;;;;;;;;;;;;
;;10 a 14;33.172;17.147;16.025;107,0;93,5;;;;;;;;;;;;;
;;15 a 19;34.363;18.287;16.076;113,8;87,9;;;;;;;;;;;;;
;;20 a 24;28.322;15.388;12.934;119,0;84,1;;;;;;;;;;;;;
;;25 a 29;24.340;12.767;11.573;110,3;90,6;;;;;;;;;;;;;
;;30 a 34;22.151;11.572;10.579;109,4;91,4;;;;;;;;;;;;;
;;35 a 39;21.224;11.258;9.966;113,0;88,5;;;;;;;;;;;;;
;;40 a 44;18.562;9.863;8.699;113,4;88,2;;;;;;;;;;;;;
;;45 a 49;17.507;9.401;8.106;116,0;86,2;;;;;;;;;;;;;
;;50 a 54;16.220;8.749;7.471;117,1;85,4;;;;;;;;;;;;;
;;55 a 59;13.972;7.713;6.259;123,2;81,1;;;;;;;;;;;;;
;;60 a 64;11.010;6.083;4.927;123,5;81,0;;;;;;;;;;;;;
;;65 a 69;8.505;4.902;3.603;136,1;73,5;;;;;;;;;;;;;
;;70 a 74;6.241;3.591;2.650;135,5;73,8;;;;;;;;;;;;;
;;75 a 79;4.551;2.595;1.956;132,7;75,4;;;;;;;;;;;;;
;;80 a 84;2.738;1.522;1.216;125,2;79,9;;;;;;;;;;;;;
;;85 y más;2.089;1.134;955;118,7;84,2;;;;;;;;;;;;;
44_La Guajira;Total;Total;825.364;404.215;421.149;96,0;104,2;;;;;;;;;;;;;
;;0 a 4;97.464;49.688;47.776;104,0;96,2;;;;;;;;;;;;;
;;5 a 9;98.818;50.497;48.321;104,5;95,7;;;;;;;;;;;;;
;;10 a 14;90.547;45.591;44.956;101,4;98,6;;;;;;;;;;;;;
;;15 a 19;87.425;43.769;43.656;100,3;99,7;;;;;;;;;;;;;
;;20 a 24;77.426;38.375;39.051;98,3;101,8;;;;;;;;;;;;;
;;25 a 29;66.200;32.032;34.168;93,7;106,7;;;;;;;;;;;;;
;;30 a 34;58.628;28.116;30.512;92,1;108,5;;;;;;;;;;;;;
;;35 a 39;52.083;24.724;27.359;90,4;110,7;;;;;;;;;;;;;
;;40 a 44;41.659;19.673;21.986;89,5;111,8;;;;;;;;;;;;;
;;45 a 49;35.856;16.970;18.886;89,9;111,3;;;;;;;;;;;;;
;;50 a 54;31.199;14.547;16.652;87,4;114,5;;;;;;;;;;;;;
;;55 a 59;27.590;12.748;14.842;85,9;116,4;;;;;;;;;;;;;
;;60 a 64;19.356;9.146;10.210;89,6;111,6;;;;;;;;;;;;;
;;65 a 69;14.884;6.976;7.908;88,2;113,4;;;;;;;;;;;;;
;;70 a 74;10.026;4.543;5.483;82,9;120,7;;;;;;;;;;;;;
;;75 a 79;7.352;3.238;4.114;78,7;127,1;;;;;;;;;;;;;
;;80 a 84;4.340;1.840;2.500;73,6;135,9;;;;;;;;;;;;;
;;85 y más;4.511;1.742;2.769;62,9;159,0;;;;;;;;;;;;;
;Cabecera;Total;391.901;189.357;202.544;93,5;107,0;;;;;;;;;;;;;
;;0 a 4;38.502;19.626;18.876;104,0;96,2;;;;;;;;;;;;;
;;5 a 9;38.715;19.813;18.902;104,8;95,4;;;;;;;;;;;;;
;;10 a 14;38.129;19.087;19.042;100,2;99,8;;;;;;;;;;;;;
;;15 a 19;39.096;19.568;19.528;100,2;99,8;;;;;;;;;;;;;
;;20 a 24;37.037;18.219;18.818;96,8;103,3;;;;;;;;;;;;;
;;25 a 29;34.099;16.481;17.618;93,5;106,9;;;;;;;;;;;;;
;;30 a 34;29.866;14.235;15.631;91,1;109,8;;;;;;;;;;;;;
;;35 a 39;27.663;13.072;14.591;89,6;111,6;;;;;;;;;;;;;
;;40 a 44;21.738;10.098;11.640;86,8;115,3;;;;;;;;;;;;;
;;45 a 49;20.318;9.257;11.061;83,7;119,5;;;;;;;;;;;;;
;;50 a 54;18.165;8.185;9.980;82,0;121,9;;;;;;;;;;;;;
;;55 a 59;15.584;7.082;8.502;83,3;120,1;;;;;;;;;;;;;
;;60 a 64;11.772;5.315;6.457;82,3;121,5;;;;;;;;;;;;;
;;65 a 69;7.896;3.629;4.267;85,0;117,6;;;;;;;;;;;;;
;;70 a 74;5.067;2.252;2.815;80,0;125,0;;;;;;;;;;;;;
;;75 a 79;3.639;1.570;2.069;75,9;131,8;;;;;;;;;;;;;
;;80 a 84;2.220;951;1.269;74,9;133,4;;;;;;;;;;;;;
;;85 y más;2.395;917;1.478;62,0;161,2;;;;;;;;;;;;;
;Centro Poblado;Total;72.681;36.728;35.953;102,2;97,9;;;;;;;;;;;;;
;;0 a 4;7.755;4.017;3.738;107,5;93,1;;;;;;;;;;;;;
;;5 a 9;8.330;4.306;4.024;107,0;93,5;;;;;;;;;;;;;
;;10 a 14;8.276;4.230;4.046;104,5;95,7;;;;;;;;;;;;;
;;15 a 19;7.746;4.045;3.701;109,3;91,5;;;;;;;;;;;;;
;;20 a 24;6.547;3.292;3.255;101,1;98,9;;;;;;;;;;;;;
;;25 a 29;5.820;2.852;2.968;96,1;104,1;;;;;;;;;;;;;
;;30 a 34;4.983;2.471;2.512;98,4;101,7;;;;;;;;;;;;;
;;35 a 39;4.581;2.278;2.303;98,9;101,1;;;;;;;;;;;;;
;;40 a 44;3.748;1.877;1.871;100,3;99,7;;;;;;;;;;;;;
;;45 a 49;3.276;1.628;1.648;98,8;101,2;;;;;;;;;;;;;
;;50 a 54;2.852;1.449;1.403;103,3;96,8;;;;;;;;;;;;;
;;55 a 59;2.592;1.248;1.344;92,9;107,7;;;;;;;;;;;;;
;;60 a 64;1.986;984;1.002;98,2;101,8;;;;;;;;;;;;;
;;65 a 69;1.469;746;723;103,2;96,9;;;;;;;;;;;;;
;;70 a 74;944;474;470;100,9;99,2;;;;;;;;;;;;;
;;75 a 79;782;383;399;96,0;104,2;;;;;;;;;;;;;
;;80 a 84;504;248;256;96,9;103,2;;;;;;;;;;;;;
;;85 y más;490;200;290;69,0;145,0;;;;;;;;;;;;;
;Rural disperso;Total;360.782;178.130;182.652;97,5;102,5;;;;;;;;;;;;;
;;0 a 4;51.207;26.045;25.162;103,5;96,6;;;;;;;;;;;;;
;;5 a 9;51.773;26.378;25.395;103,9;96,3;;;;;;;;;;;;;
;;10 a 14;44.142;22.274;21.868;101,9;98,2;;;;;;;;;;;;;
;;15 a 19;40.583;20.156;20.427;98,7;101,3;;;;;;;;;;;;;
;;20 a 24;33.842;16.864;16.978;99,3;100,7;;;;;;;;;;;;;
;;25 a 29;26.281;12.699;13.582;93,5;107,0;;;;;;;;;;;;;
;;30 a 34;23.779;11.410;12.369;92,2;108,4;;;;;;;;;;;;;
;;35 a 39;19.839;9.374;10.465;89,6;111,6;;;;;;;;;;;;;
;;40 a 44;16.173;7.698;8.475;90,8;110,1;;;;;;;;;;;;;
;;45 a 49;12.262;6.085;6.177;98,5;101,5;;;;;;;;;;;;;
;;50 a 54;10.182;4.913;5.269;93,2;107,2;;;;;;;;;;;;;
;;55 a 59;9.414;4.418;4.996;88,4;113,1;;;;;;;;;;;;;
;;60 a 64;5.598;2.847;2.751;103,5;96,6;;;;;;;;;;;;;
;;65 a 69;5.519;2.601;2.918;89,1;112,2;;;;;;;;;;;;;
;;70 a 74;4.015;1.817;2.198;82,7;121,0;;;;;;;;;;;;;
;;75 a 79;2.931;1.285;1.646;78,1;128,1;;;;;;;;;;;;;
;;80 a 84;1.616;641;975;65,7;152,1;;;;;;;;;;;;;
;;85 y más;1.626;625;1.001;62,4;160,2;;;;;;;;;;;;;
47_Magdalena;Total;Total;1.263.788;632.502;631.286;100,2;99,8;;;;;;;;;;;;;
;;0 a 4;111.893;57.234;54.659;104,7;95,5;;;;;;;;;;;;;
;;5 a 9;123.149;63.481;59.668;106,4;94,0;;;;;;;;;;;;;
;;10 a 14;127.915;65.955;61.960;106,4;93,9;;;;;;;;;;;;;
;;15 a 19;126.746;64.812;61.934;104,6;95,6;;;;;;;;;;;;;
;;20 a 24;109.329;55.706;53.623;103,9;96,3;;;;;;;;;;;;;
;;25 a 29;97.584;48.868;48.716;100,3;99,7;;;;;;;;;;;;;
;;30 a 34;87.843;43.594;44.249;98,5;101,5;;;;;;;;;;;;;
;;35 a 39;83.176;40.566;42.610;95,2;105,0;;;;;;;;;;;;;
;;40 a 44;73.825;36.066;37.759;95,5;104,7;;;;;;;;;;;;;
;;45 a 49;68.909;33.572;35.337;95,0;105,3;;;;;;;;;;;;;
;;50 a 54;63.437;30.939;32.498;95,2;105,0;;;;;;;;;;;;;
;;55 a 59;54.100;26.306;27.794;94,6;105,7;;;;;;;;;;;;;
;;60 a 64;42.525;20.780;21.745;95,6;104,6;;;;;;;;;;;;;
;;65 a 69;33.602;16.361;17.241;94,9;105,4;;;;;;;;;;;;;
;;70 a 74;22.822;11.323;11.499;98,5;101,6;;;;;;;;;;;;;
;;75 a 79;16.687;7.984;8.703;91,7;109,0;;;;;;;;;;;;;
